   No.   File  Line   Col. Cls.  Mthd.  Rep.  Tok.     Text
     0     0     1     1    -1    -1     0     121  STARTFILE C:\Users\RA\javasrc\java\nio\Bits.java
     1     0    26     9    -1    -1     0     111  java.nio
     2     0    26    17    -1    -1     0     102  ;
     3     0    28     1    -1    -1     1      49  import
     4     0    28     8    -1    -1     1     111  java.security.AccessController
     5     0    28    38    -1    -1     1     102  ;
     6     0    29     1    -1    -1     1      49  import
     7     0    29     8    -1    -1     1     111  java.security.PrivilegedAction
     8     0    29    38    -1    -1     1     102  ;
     9     0    30     1    -1    -1     1      49  import
    10     0    30     8    -1    -1     1     111  sun.misc.Unsafe
    11     0    30    23    -1    -1     1     102  ;
    12     0    31     1    -1    -1     1      49  import
    13     0    31     8    -1    -1     1     111  sun.misc.VM
    14     0    31    19    -1    -1     1     102  ;
    15     0    37     1     0    -1     0     122  STARTCLASS
    16     0    37     1     0    -1     0      24  class
    17     0    37     7     0    -1     0     111  Bits
    18     0    37    12     0    -1     0      63  {
    19     0    37    12     0     0     0     123  STARTMETHOD
    20     0    39     5     0     0     0      41  private
    21     0    39    13     0     0     0     111  Bits
    22     0    39    17     0     0     0      59  (
    23     0    39    18     0     0     0      60  )
    24     0    39    20     0     0     0      63  {
    25     0    39    22     0     0     1      64  }
    26     0    39    22     0     0     0     124  ENDMETHOD
    27     0    39    22     0     1     0     125  STARTMETHOD
    28     0    44     5     0     1     0      45  static
    29     0    44    18     0     1     0     111  swap
    30     0    44    22     0     1     0      59  (
    31     0    44    29     0     1     0     111  x
    32     0    44    30     0     1     0      60  )
    33     0    44    32     0     1     0      63  {
    34     0    45     9     0     1     0      19  return
    35     0    45    16     0     1     0      59  (
    36     0    45    22     0     1     0      60  )
    37     0    45    23     0     1     0      59  (
    38     0    45    24     0     1     0      59  (
    39     0    45    25     0     1     0     111  x
    40     0    45    27     0     1     0      90  <<
    41     0    45    30     0     1     0     112  8
    42     0    45    31     0     1     0      60  )
    43     0    45    33     0     1     0      96  |
    44     0    46    24     0     1     0      59  (
    45     0    46    25     0     1     0      59  (
    46     0    46    26     0     1     0      40  char
    47     0    46    30     0     1     0      60  )
    48     0    46    31     0     1     0     111  x
    49     0    46    33     0     1     0      86  >>>
    50     0    46    37     0     1     0     112  8
    51     0    46    38     0     1     0      60  )
    52     0    46    39     0     1     0      60  )
    53     0    46    40     0     1     0     102  ;
    54     0    47     5     0     1     1      64  }
    55     0    47     5     0     1     0     126  ENDMETHOD
    56     0    47     5     0     2     0     127  STARTMETHOD
    57     0    49     5     0     2     0      45  static
    58     0    49    12     0     2     0      40  char
    59     0    49    17     0     2     0     111  swap
    60     0    49    21     0     2     0      59  (
    61     0    49    22     0     2     0      40  char
    62     0    49    27     0     2     0     111  x
    63     0    49    28     0     2     0      60  )
    64     0    49    30     0     2     0      63  {
    65     0    50     9     0     2     0      19  return
    66     0    50    16     0     2     0      59  (
    67     0    50    17     0     2     0      40  char
    68     0    50    21     0     2     0      60  )
    69     0    50    22     0     2     0      59  (
    70     0    50    23     0     2     0      59  (
    71     0    50    24     0     2     0     111  x
    72     0    50    26     0     2     0      90  <<
    73     0    50    29     0     2     0     112  8
    74     0    50    30     0     2     0      60  )
    75     0    50    32     0     2     0      96  |
    76     0    51    23     0     2     0      59  (
    77     0    51    24     0     2     0     111  x
    78     0    51    26     0     2     0      86  >>>
    79     0    51    30     0     2     0     112  8
    80     0    51    31     0     2     0      60  )
